Parcel Id,Address,roof cover,Stories,Disaster Permit,Permit Description,Demand Value,Value,Year Built
66dc0b3f-2e03-45d9-b212-ee82b8407024,105 CAPTAINS BAY DR ROCKPORT ARANSAS COUNTY TX,ASPHALT SHINGLES,1,False,None,133.0,10.0,2011
9dd3f453-a219-4dc1-b88c-50ac78488783,102 CAPTAINS BAY DR ROCKPORT ARANSAS COUNTY TX,ASPHALT SHINGLES,1,False,None,133.0,10.0,2009
d1cf281b-e7d7-4666-bb42-81775087d356,112 CAPTAINS BAY DR ROCKPORT ARANSAS COUNTY TX,ASPHALT SHINGLES,1,False,None,133.0,10.0,2012
59016e64-cd2d-4ba0-b52f-64ae34aef3fe,116 CAPTAINS BAY DR ROCKPORT ARANSAS COUNTY TX,ASPHALT SHINGLES,1,False,None,133.0,0.0,2012
63c18950-d829-47b0-a79b-2d242a16985f,102 HERON OAKS ROCKPORT ARANSAS COUNTY TX,ASPHALT SHINGLES,1,False,None,132.0,10.0,2003
3b6a9496-9e45-44af-bbfb-defb4f4a800f,106 WHISTLERS COVE ROAD ROCKPORT ARANSAS COUNTY TX,ASPHALT SHINGLES,1,False,None,131.0,10.0,2004
37852f3c-e6ef-4e42-9454-70ec9e9f06cb,110 WHISTLERS COVE ROAD ROCKPORT ARANSAS COUNTY TX,ASPHALT SHINGLES,1,False,None,131.0,20.0,2005
5b5725f6-f39e-431b-8e36-7dc854915094,114 WHISTLERS COVE ROAD ROCKPORT ARANSAS COUNTY TX,ASPHALT SHINGLES,1,False,None,131.0,10.0,2004
2bc1e4c7-e0a8-4e2f-bd31-3c8e61b495f9,118 WHISTLERS COVE ROAD ROCKPORT ARANSAS COUNTY TX,ASPHALT SHINGLES,1,False,None,131.0,20.0,2004
10b6bc91-6b8b-4bfd-af12-2fc374952cd3,122 WHISTLERS COVE ROAD ROCKPORT ARANSAS COUNTY TX,ASPHALT SHINGLES,1,False,None,131.0,20.0,2004
006f33e2-b196-4fde-b326-54efbd697fa4,126 WHISTLERS COVE ROAD ROCKPORT ARANSAS COUNTY TX,ASPHALT SHINGLES,1,False,None,131.0,20.0,2003
96c541e2-1668-4612-a3ff-bba61c9babf2,134 WHISTLERS COVE ROAD ROCKPORT ARANSAS COUNTY TX,ASPHALT SHINGLES,1,False,None,131.0,0.0,2003
ff19f4be-3540-4d17-ae10-751c5b235557,138 WHISTLERS COVE ROAD ROCKPORT ARANSAS COUNTY TX,ASPHALT SHINGLES,1,False,None,131.0,20.0,2005
04f43051-bdef-444d-878a-9e3124bfca8e,142 WHISTLERS COVE ROAD ROCKPORT ARANSAS COUNTY TX,ASPHALT SHINGLES,1,False,None,131.0,20.0,2006
12d3041c-1656-4697-bdee-f4e901273381,148 WHISTLERS COVE ROAD ROCKPORT ARANSAS COUNTY TX,ASPHALT SHINGLES,1,False,None,131.0,30.0,2006
ab349b3c-64d4-4e07-ba5a-1f01de128cc4,152 WHISTLERS COVE ROAD ROCKPORT ARANSAS COUNTY TX,ASPHALT SHINGLES,1,False,None,131.0,20.0,2006
647ab472-b65a-4f0f-9780-b79b93851f16,156 WHISTLERS COVE ROAD ROCKPORT ARANSAS COUNTY TX,ASPHALT SHINGLES,1,False,None,132.0,10.0,2006
e7cd8a15-63a7-4bff-9db1-35489cf8c77b,155 WHISTLERS COVE ROAD ROCKPORT ARANSAS COUNTY TX,ASPHALT SHINGLES,1,False,None,132.0,40.0,2005
c421bf6d-f2d5-428e-b225-a63fc5b03b0e,160 WHISTLERS COVE ROAD ROCKPORT ARANSAS COUNTY TX,ASPHALT SHINGLES,1,False,None,132.0,10.0,2006
410a1dbf-ca4d-497f-8b05-0cf7249c09fd,159 WHISTLERS COVE ROAD ROCKPORT ARANSAS COUNTY TX,ASPHALT SHINGLES,1,False,None,132.0,40.0,2006
ce97d69a-b738-4ec4-b50f-e6b666232e68,164 WHISTLERS COVE ROAD ROCKPORT ARANSAS COUNTY TX,ASPHALT SHINGLES,1,False,None,132.0,30.0,2006
ab78a692-2c32-4da0-8010-48ecc3f7185e,168 WHISTLERS COVE ROAD ROCKPORT ARANSAS COUNTY TX,ASPHALT SHINGLES,1,False,None,132.0,30.0,2006
faa8b95c-4ed7-4176-8816-431b971c2fc6,165 WHISTLERS COVE ROAD ROCKPORT ARANSAS COUNTY TX,ASPHALT SHINGLES,1,False,None,132.0,30.0,2006
352c3e54-942d-43ed-9eac-87b36dce0d54,172 WHISTLERS COVE ROAD ROCKPORT ARANSAS COUNTY TX,ASPHALT SHINGLES,1,False,None,132.0,30.0,2006
def5d62b-63d3-4f76-9d95-2e5ea6b0cf28,174 WHISTLERS COVE ROAD ROCKPORT ARANSAS COUNTY TX,ASPHALT SHINGLES,1,False,None,132.0,30.0,2006
2bc6c74c-3b46-4b37-947a-f82aaf98efad,106 SANDHILL WOODS ROCKPORT ARANSAS COUNTY TX,ASPHALT SHINGLES,1,False,None,132.0,30.0,2006
6140d61e-3c72-484e-aa98-25dae0c285d9,112 SANDHILL WOODS ROCKPORT ARANSAS COUNTY TX,ASPHALT SHINGLES,1,False,None,132.0,40.0,2007
321deb4e-14e8-44f8-b8bd-0ddd8c86ed9f,118 SANDHILL WOODS ROCKPORT ARANSAS COUNTY TX,ASPHALT SHINGLES,1,False,None,132.0,20.0,2007
5e411afc-7a14-47a1-af52-3b10db43262f,124 SANDHILL WOODS ROCKPORT ARANSAS COUNTY TX,ASPHALT SHINGLES,1,False,None,132.0,10.0,2009
7b5ee800-a8e4-4cbc-acfc-0b94696e5146,131 SANDHILL WOODS ROCKPORT ARANSAS COUNTY TX,ASPHALT SHINGLES,1,False,None,132.0,10.0,2008
ae016d7b-9937-4251-a207-c5d00c27a327,133 PECAN HATBOR ROCKPORT ARANSAS COUNTY TX,ASPHALT SHINGLES,1,False,None,133.0,0.0,2011
dc4ebe88-abf4-4907-955b-6efaad320a0b,127 PECAN HARBOR ROCKPORT ARANSAS COUNTY TX,ASPHALT SHINGLES,1,False,None,133.0,10.0,2013
f630f933-5fe9-49ad-9fb8-148a97dba6bd,119 PECAN HARBOR ROCKPORT ARANSAS COUNTY TX,ASPHALT SHINGLES,1,False,None,133.0,10.0,2012
