04390-000-000,109  14TH ST   MEXICO BEACH 32410,"['19MB-RB0230', '18-3885', '17-3629']"
04409-010-000,901  HWY 98   A MEXICO BEACH 32410,"['19MB-RB0630', '19MB-RB0593', '19MB-RB0441', '19MB-RB0436', '19MB-RB0437', '81480700', 'RF569', 'B500']"
04409-020-000,901  HWY 98   D MEXICO BEACH 32410,"['20MB-RB0203', 'B621']"
04409-030-000,901  HWY 98   B MEXICO BEACH 32410,"['20MB-RB0290', '19MB-RR0321', '19MB-SID0007']"
04409-040-000,901  HWY 98   C MEXICO BEACH 32410,['20MB-RB0002']
04409-050-000,901  HWY 98   E MEXICO BEACH 32410,"['19MB-RB0465', '19MB-CR0007', '16-3088']"
36075-010-000,23030  PANAMA CITY BEACH PKWY   PANAMA CITY BEACH 32413,"['CB20-00161', '17-0135', '14-0019', '13-0202', '13-0181', '11-0035', 'B07-1521']"
36076-000-000,22807  FRONT BEACH RD   PANAMA CITY BEACH 32413,"['13-0547', '3755', '3756']"
36076-010-000,22813  FRONT BEACH RD   PANAMA CITY BEACH 32413,['11-0877']
36076-010-010,22811  FRONT BEACH RD   PANAMA CITY BEACH 32413,"['11-0850', 'SP036']"
36076-021-010,23100  FRONT BEACH RD   PANAMA CITY BEACH 32413,['1969']
36076-022-020,22913  PANAMA CITY BEACH PKWY   PANAMA CITY BEACH 32413,['11-0532']
36076-022-030,22917  PANAMA CITY BEACH PKWY   PANAMA CITY BEACH 32413,['13-0269']
36076-023-000,23200  FRONT BEACH RD   PANAMA CITY BEACH 32413,"['08-0372', '401439', '1740', '9311531']"
36076-026-000,22901  PC BCH PKWY   PANAMA CITY BEACH 32413,"['13-0022', '12-0064', '09-0173', '09-0033']"
36076-026-010,22909  PC BCH PKWY   PANAMA CITY BEACH 32413,"['15-1225', '15-0079']"
36077-000-000,22803  FRONT BEACH RD  2 PANAMA CITY BEACH 32413,"['15-0555', '13-1354', 'RF409', '9600731']"
36077-010-000,22805  FRONT BEACH RD  3 PANAMA CITY BEACH 32413,['RF1430']
36077-020-000,22801  FRONT BEACH RD  1 PANAMA CITY BEACH 32413,"['DIS19-11394', '500670', 'RF802', '9600732']"
36078-001-000,23001  FRONT BEACH RD  101 PANAMA CITY BEACH 32413,"['11-0605', '9809548', '9604267', '9412191']"
36081-000-007,105  CARILLON MARKET ST  301 PANAMA CITY BEACH 32413,['0402505']
36081-000-015,100  CARILLON MARKET ST  201 PANAMA CITY BEACH 32413,['DIS19-12252']
35357-000-000,21901  PC BCH PKWY   PANAMA CITY BEACH 32413,"['13-0191', 'B06-2309', 'B06-2380']"
35357-002-000,100  SUN LN   PANAMA CITY BEACH 32413,['16-0490']
35357-003-000,102  SUN LN   PANAMA CITY BEACH 32413,['9504309']
35357-004-000,104  SUN LN   PANAMA CITY BEACH 32413,['9612258']
35357-005-000,22050  PC BCH PKWY   PANAMA CITY BEACH 32413,['16-0013']
35357-026-000,21929  PC BCH PKWY   PANAMA CITY BEACH 32413,['CB18-0150']
35357-030-000,21903  LAKEVIEW DR   PANAMA CITY BEACH 32413,"['B723', 'MH100']"
35357-035-000,21913  LAKEVIEW DR   PANAMA CITY BEACH 32413,['401742']
35357-045-000,21921  LAKEVIEW DR   PANAMA CITY BEACH 32413,"['08-0267', '3043']"
35357-055-000,22001  LAKEVIEW DR   PANAMA CITY BEACH 32413,['9507039']
35357-060-000,22009  LAKEVIEW DR   PANAMA CITY BEACH 32413,['17-0892']
35357-065-000,22011  LAKEVIEW DR   PANAMA CITY BEACH 32413,['15-0243']
35357-070-000,22017  LAKEVIEW DR   PANAMA CITY BEACH 32413,['9501115']
35357-080-000,22027  LAKEVIEW DR   PANAMA CITY BEACH 32413,['13-0981']
35357-085-000,22103  LAKEVIEW DR   PANAMA CITY BEACH 32413,['18-0744']
35357-100-000,22119  LAKEVIEW DR   PANAMA CITY BEACH 32413,"['91-6478', '9513660']"
35357-105-000,22121  LAKEVIEW DR   PANAMA CITY BEACH 32413,['9713900']
35357-110-000,612  GAINOUS RD   PANAMA CITY BEACH 32413,"['15-0215', '9210192']"
35357-275-000,600  GAINOUS RD   PANAMA CITY BEACH 32413,"['18-0791', '9605326']"
35365-000-000,316  K KOURT    PANAMA CITY BEACH 32413,"['B-2747', '578589', 'B760']"
