Parcel Id,Address,Use Code,Square Footage,Stories,Year Built,Occupancy,Exterior Walls,Roof Cover,Interior Walls,Frame Type,Floor Cover,Unit No,Floor,Living Area,Number of Bedrooms,Number of Bathrooms,Permit Number,Latitude,Longitude,Condo Bldg,Disaster Permit,Disaster Permit Type,Disaster Permit Description
21084-000-000,615 BONITA AVE N PANAMA CITY 32401,HOSPITALS (008500),22927,3,1961,HOSPITAL,CB STUCCO,BUILT-UP,DRYWALL,REIN CONC,HARDTILE,,,,,,,30.159663,-85.649014,,FALSE,,
21084-000-000,615 BONITA AVE N PANAMA CITY 32401,HOSPITALS (008500),25125,3,1967,HOSPITAL,CB STUCCO,BUILT-UP,DRYWALL,REIN CONC,HARDTILE,,,,,,,30.159663,-85.649014,,FALSE,,
21084-000-000,615 BONITA AVE N PANAMA CITY 32401,HOSPITALS (008500),19886,3,1967,HOSPITAL,CB STUCCO,BUILT-UP,DRYWALL,REIN CONC,HARDTILE,,,,,,,30.159663,-85.649014,,FALSE,,
21084-000-000,615 BONITA AVE N PANAMA CITY 32401,HOSPITALS (008500),1226,1,1967,HOSPITAL,CB STUCCO,BUILT-UP,DRYWALL,REIN CONC,HARDTILE,,,,,,,30.159663,-85.649014,,FALSE,,
21084-000-000,615 BONITA AVE N PANAMA CITY 32401,HOSPITALS (008500),79302,3,1975,HOSPITAL,CB STUCCO,BUILT-UP,DRYWALL,REIN CONC,HARDTILE,,,,,,,30.159663,-85.649014,,FALSE,,
21084-000-000,615 BONITA AVE N PANAMA CITY 32401,HOSPITALS (008500),4239,1,1980,HOSPITAL,CB STUCCO,BUILT-UP,DRYWALL,REIN CONC,HARDTILE,,,,,,,30.159663,-85.649014,,FALSE,,
21084-000-000,615 BONITA AVE N PANAMA CITY 32401,HOSPITALS (008500),43970,3,1981,HOSPITAL,CB STUCCO,BUILT-UP,DRYWALL,REIN CONC,HARDTILE,,,,,,,30.159663,-85.649014,,FALSE,,
21084-000-000,615 BONITA AVE N PANAMA CITY 32401,HOSPITALS (008500),9219,1,1985,HOSPITAL,CB STUCCO,BUILT-UP,DRYWALL,REIN CONC,HARDTILE,,,,,,,30.159663,-85.649014,,FALSE,,
21084-000-000,615 BONITA AVE N PANAMA CITY 32401,HOSPITALS (008500),27813,3,1989,HOSPITAL,CB STUCCO,BUILT-UP,DRYWALL,REIN CONC,HARDTILE,,,,,,,30.159663,-85.649014,,FALSE,,
21084-000-000,615 BONITA AVE N PANAMA CITY 32401,HOSPITALS (008500),8932,1,1987,WAREH STOR,ABOVE AVE,STAND SEAM,DRYWALL,FIREPROOF,CONC FINSH; CARPET,,,,,,,30.159663,-85.649014,,FALSE,,
21084-000-000,615 BONITA AVE N PANAMA CITY 32401,HOSPITALS (008500),8988,1,1987,OFFICE LOW,ABOVE AVE,STAND SEAM,DRYWALL,FIREPROOF,CONC FINSH; CARPET,,,,,,,30.159663,-85.649014,,FALSE,,
21084-000-000,615 BONITA AVE N PANAMA CITY 32401,HOSPITALS (008500),395,1,1996,WAREH STOR,CONC BLOCK,MINIMUM,MINIMUM,REIN CONC,CONC FINSH,,,,,,,30.159663,-85.649014,,FALSE,,
21084-000-000,615 BONITA AVE N PANAMA CITY 32401,HOSPITALS (008500),8137,2,1967,HOSPITAL,CONC BLOCK,STAND SEAM,MINIMUM,REIN CONC,CONC FINSH,,,,,,,30.159663,-85.649014,,FALSE,,
21084-000-000,615 BONITA AVE N PANAMA CITY 32401,HOSPITALS (008500),41884,4,1999,OFFICE LOW,ABOVE AVE; CB STUCCO,MINIMUM,DRYWALL,FIREPROOF,CARPET,,,,,,,30.159663,-85.649014,,FALSE,,
21084-000-000,615 BONITA AVE N PANAMA CITY 32401,HOSPITALS (008500),19314,2,2010,HOSPITAL,ABOVE AVE,MINIMUM,MINIMUM; DRYWALL,FIREPROOF,CONC FINSH,,,,,,,30.159663,-85.649014,,FALSE,,
