ID,Lat,,Vg_mph,Vsus_mph,Lon
140372,26.030001,97.269997,47.94,37.29,-97.269997
140373,26.030001,97.279999,47.7,37.1,-97.279999
140374,26.030001,97.290001,47.46,36.92,-97.290001
140375,26.030001,97.300003,47.23,36.73,-97.300003
140376,26.030001,97.309998,47,36.55,-97.309998
140377,26.030001,97.32,46.76,36.37,-97.32
140378,26.030001,97.330002,46.53,36.18,-97.330002
140379,26.030001,97.339996,46.32,36.02,-97.339996
140380,26.030001,97.349998,46.14,35.88,-97.349998
140381,26.030001,97.360001,45.97,35.74,-97.360001
140382,26.030001,97.370003,45.79,35.6,-97.370003
140383,26.030001,97.379997,45.62,35.47,-97.379997
140384,26.040001,97.160004,53.33,43.43,-97.160004
140385,26.040001,97.199997,52.6,43.15,-97.199997
140386,26.040001,97.220001,53.2,44.35,-97.220001
140387,26.040001,97.230003,49.06,38.17,-97.230003
140388,26.040001,97.239998,48.8,37.96,-97.239998
140389,26.040001,97.25,48.57,37.78,-97.25
140390,26.040001,97.260002,48.33,37.6,-97.260002
140391,26.040001,97.269997,48.09,37.41,-97.269997
140392,26.040001,97.279999,47.85,37.22,-97.279999
140393,26.040001,97.290001,47.61,37.04,-97.290001
140394,26.040001,97.300003,47.37,36.85,-97.300003
140395,26.040001,97.309998,47.14,36.66,-97.309998
140396,26.040001,97.32,46.9,36.48,-97.32
140397,26.040001,97.330002,46.68,36.3,-97.330002
140398,26.040001,97.339996,46.51,36.17,-97.339996
140399,26.040001,97.349998,46.33,36.03,-97.349998
140400,26.040001,97.360001,46.15,35.89,-97.360001
140401,26.040001,97.370003,45.97,35.75,-97.370003
140402,26.049999,97.18,54,44.75,-97.18
140403,26.049999,97.199997,52.2,42.38,-97.199997
140404,26.049999,97.239998,48.94,38.08,-97.239998
140405,26.049999,97.25,48.69,37.88,-97.25
140406,26.049999,97.260002,48.46,37.7,-97.260002
140407,26.049999,97.269997,48.23,37.52,-97.269997
140408,26.049999,97.279999,48,37.34,-97.279999
140409,26.049999,97.290001,47.76,37.15,-97.290001
140410,26.049999,97.300003,47.51,36.96,-97.300003
140411,26.049999,97.309998,47.28,36.77,-97.309998
140412,26.049999,97.32,47.04,36.59,-97.32
140413,26.049999,97.330002,46.87,36.45,-97.330002
140414,26.049999,97.339996,46.69,36.31,-97.339996
140415,26.049999,97.349998,46.51,36.17,-97.349998
140416,26.049999,97.360001,46.34,36.03,-97.360001
140417,26.049999,97.370003,46.15,35.89,-97.370003
140418,26.059999,97.160004,54.54,45.75,-97.160004
140419,26.059999,97.199997,51.38,41.59,-97.199997
140420,26.059999,97.209999,54.1,45.22,-97.209999
140421,26.059999,97.220001,51.73,41.94,-97.220001
140422,26.059999,97.239998,49.11,38.2,-97.239998
140423,26.059999,97.25,48.84,38,-97.25
140424,26.059999,97.260002,48.6,37.81,-97.260002
140425,26.059999,97.269997,48.36,37.62,-97.269997
140426,26.059999,97.279999,48.12,37.43,-97.279999
140427,26.059999,97.290001,47.87,37.24,-97.290001
140428,26.059999,97.300003,47.63,37.05,-97.300003
140429,26.059999,97.309998,47.39,36.86,-97.309998
140430,26.059999,97.32,47.2,36.71,-97.32
140431,26.059999,97.330002,47.03,36.58,-97.330002
140432,26.059999,97.339996,46.85,36.44,-97.339996
140433,26.059999,97.349998,46.68,36.3,-97.349998
140434,26.059999,97.360001,46.5,36.16,-97.360001
140435,26.059999,97.370003,46.32,36.02,-97.370003
140436,26.059999,97.379997,46.13,35.88,-97.379997
140437,26.07,97.160004,53.85,43.89,-97.160004
140438,26.07,97.190002,53.87,44.54,-97.190002
140439,26.07,97.199997,51.86,41.54,-97.199997
140440,26.07,97.209999,51.51,41.18,-97.209999
140441,26.07,97.220001,49.8,38.75,-97.220001
140442,26.07,97.230003,49.52,38.53,-97.230003
140443,26.07,97.239998,49.26,38.32,-97.239998
140444,26.07,97.25,48.99,38.12,-97.25
140445,26.07,97.260002,48.71,37.9,-97.260002
140446,26.07,97.269997,48.47,37.71,-97.269997
140447,26.07,97.279999,48.23,37.52,-97.279999
140448,26.07,97.290001,47.99,37.33,-97.290001
140449,26.07,97.300003,47.75,37.14,-97.300003
140450,26.07,97.309998,47.55,36.98,-97.309998
140451,26.07,97.32,47.37,36.85,-97.32
140452,26.07,97.330002,47.2,36.71,-97.330002
140453,26.07,97.339996,47.01,36.57,-97.339996
140454,26.07,97.349998,46.83,36.43,-97.349998
140455,26.07,97.360001,46.66,36.28,-97.360001
140456,26.07,97.370003,46.48,36.14,-97.370003
140457,26.07,97.379997,46.29,36,-97.379997
140458,26.07,97.389999,46.11,35.86,-97.389999
140459,26.08,97.160004,54.21,44.32,-97.160004
140460,26.08,97.239998,54.04,45.35,-97.239998
140461,26.08,97.25,51.76,42.42,-97.25
140462,26.08,97.260002,48.84,38.34,-97.260002
140463,26.08,97.269997,48.58,37.79,-97.269997
140464,26.08,97.279999,48.34,37.61,-97.279999
140465,26.08,97.290001,48.1,37.42,-97.290001
140466,26.08,97.300003,47.88,37.25,-97.300003
140467,26.08,97.309998,47.71,37.11,-97.309998
140468,26.08,97.32,47.54,36.97,-97.32
140469,26.08,97.330002,47.36,36.84,-97.330002
140470,26.08,97.339996,47.18,36.7,-97.339996
140471,26.08,97.349998,46.99,36.55,-97.349998
140472,26.08,97.360001,46.81,36.41,-97.360001
140473,26.08,97.370003,46.63,36.27,-97.370003
140474,26.08,97.379997,46.45,36.13,-97.379997
140475,26.08,97.389999,46.27,35.98,-97.389999
140476,26.08,97.400002,46.09,35.84,-97.400002
140477,26.09,97.279999,48.45,37.69,-97.279999
140478,26.09,97.290001,48.21,37.51,-97.290001
140479,26.09,97.300003,48.05,37.37,-97.300003
140480,26.09,97.309998,47.87,37.24,-97.309998
140481,26.09,97.32,47.7,37.1,-97.32
140482,26.09,97.330002,47.52,36.96,-97.330002
140483,26.09,97.339996,47.34,36.82,-97.339996
140484,26.09,97.349998,47.16,36.68,-97.349998
140485,26.09,97.360001,46.98,36.54,-97.360001
140486,26.09,97.370003,46.79,36.39,-97.370003
140487,26.09,97.379997,46.61,36.25,-97.379997
140488,26.09,97.389999,46.43,36.11,-97.389999
140489,26.09,97.400002,46.25,35.97,-97.400002
140490,26.1,97.290001,48.38,37.63,-97.290001
140491,26.1,97.300003,48.2,37.5,-97.300003
140492,26.1,97.309998,48.03,37.36,-97.309998
140493,26.1,97.32,47.86,37.22,-97.32
140494,26.1,97.330002,47.68,37.09,-97.330002
140495,26.1,97.339996,47.5,36.95,-97.339996
140496,26.1,97.349998,47.32,36.81,-97.349998
140497,26.1,97.360001,47.15,36.67,-97.360001
140498,26.1,97.370003,46.96,36.53,-97.370003
140499,26.1,97.379997,46.78,36.38,-97.379997
140500,26.1,97.389999,46.6,36.24,-97.389999
140501,26.1,97.400002,46.41,36.1,-97.400002
140502,26.110001,97.169998,55.29,45.77,-97.169998
140503,26.110001,97.300003,48.37,37.63,-97.300003
140504,26.110001,97.309998,48.19,37.49,-97.309998
140505,26.110001,97.32,48.01,37.35,-97.32
140506,26.110001,97.330002,47.84,37.21,-97.330002
140507,26.110001,97.339996,47.66,37.07,-97.339996
140508,26.110001,97.349998,47.49,36.93,-97.349998
140509,26.110001,97.360001,47.31,36.8,-97.360001
140510,26.110001,97.370003,47.13,36.66,-97.370003
140511,26.110001,97.379997,46.95,36.52,-97.379997
140512,26.110001,97.389999,46.76,36.37,-97.389999
140513,26.110001,97.400002,46.58,36.22,-97.400002
140514,26.110001,97.410004,46.39,36.08,-97.410004
