BLDGID4,REGION4,CENDIV4,SQFTC4,PBA4,HTCNTL4,HTTHRM4,RDHTNF4,BOILER4,FURNAC4,SLFCON4,PKGHT4,HTPMPH4,DUCTHT4,REHEAT4,FNCLHT4,BBDRAD4,OTHTEQ4,OTHTQ14,CLCNTL4,CLTHRM4,RDCLNF4,CHILLR4,ACWNWL4,PKGCL4,HTPMPC4,DUCTCL4,FNCLCL4,OTCLEQ4,OTCLQ14,CHLYRC4,PKCYRC4,CFRIG4,CFRZR4,RFRIG4,RFRZR4,ICE4,SODA4,WTRCL4,OTREF4,OTREF14,PORVAC4,VAC3MP4,MONUSE4,YRCONC4,WLCNS4,RFCNS4,COMPRM4,GENER4,COGEN4,GRID4,PURPA4,FACIL4,PLANT4,BLDPLT4,ADJWT4,STRATUM4,PAIR4,ELSUPL4,NGSUPL4,FKSUPL4,STSUPL4,HWSUPL4,FACACT4,FACTSRC4
4525,3,7,5,4,2,,1,2,1,1,2,2,1,2,2,2,2,,2,,1,2,1,1,2,1,2,2,,,4,2,2,1,2,2,2,1,2,,2,0,12,5,4,3,2,2,,,,2,,,1595.2,13,1,1,1,2,2,2,,
4526,2,3,4,4,1,2,1,1,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,1,2,1,1,2,1,1,2,,2,0,12,3,4,3,2,2,,,,2,,,157.88,7,2,1,1,2,2,2,,
4527,1,2,3,4,1,1,2,2,2,1,2,2,2,2,2,2,2,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,,1,50,12,1,4,2,2,2,,,,2,,,1638.2,18,2,1,1,2,2,2,,
4528,3,6,2,17,1,1,1,2,2,1,2,2,2,2,2,2,2,,1,1,1,2,1,2,2,2,2,2,,,,2,2,1,2,1,1,1,2,,2,0,12,7,4,3,2,2,,,,1,2,,1932.25,11,2,1,1,2,2,2,9,3
4529,1,2,4,3,1,1,1,2,2,1,2,2,2,2,2,2,2,,1,1,1,2,1,2,2,2,2,2,,,,2,2,2,2,2,2,2,2,,2,0,12,3,4,4,2,2,,,,2,,,597.34,16,1,1,1,2,2,2,,
4530,2,3,9,15,1,1,2,1,2,1,2,2,1,1,1,2,2,,1,1,2,1,1,1,2,1,1,2,,3,3,1,1,1,1,1,1,1,2,,2,0,12,6,6,4,1,2,,,,1,1,1,10.04,5,1,1,1,1,2,2,6,2
4531,3,7,2,5,1,1,7,2,1,2,1,2,1,2,2,2,2,,1,1,7,2,2,1,2,1,2,2,,,3,1,1,1,2,1,1,2,2,,2,0,12,6,4,6,2,2,,,,2,,,1472.34,13,2,1,1,2,2,2,,
4532,1,1,2,14,2,,1,1,2,2,2,2,1,2,2,2,2,,2,,1,2,2,1,2,1,2,2,,,5,1,1,1,1,1,1,1,2,,2,0,12,6,4,6,2,2,,,,2,,,1468.67,3,2,1,1,2,2,2,,
4533,3,7,2,4,,,,,,,,,,,,,,,2,,1,2,2,2,2,2,2,1,1,,,2,2,2,2,2,2,2,2,,1,44,12,1,4,5,2,2,,,,2,,,2170.72,20,2,1,2,2,2,2,,
4534,1,1,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,,2,0,12,1,5,3,2,2,,,,1,2,,1849.99,11,2,2,2,2,2,2,12,3
