Id,ParcelId,Address,OccupancyClass,PlanArea,NumberOfStories,YearBuilt,ExteriorWalls,RoofCover,InteriorWalls,FrameType,FloorCover,PermitNumber,PermitIssueDate,PermitType,PermitDescription,PermitAmount,Latitude,Longitude,RoofShape,LULC,County,FloodZone,DWSII,Garage,RoofSlope,AvgJanTemp,City,State,BldgHeight,HeightUnit,RoofReplaceYear,HazusGBM
830,32903-000-000,114 JEANETTE AVE PANAMA CITY BEACH 32413,SINGLE FAM (000100),1748,1.0,1991,COMMON BRK,ENG SHINGL,DRYWALL,NONE REPORTED,SHT VINYL; CARPET,"['202001036', '201901864', '4900']","['20200420', '20190507', '19900320']","['RERF', 'RERF', 'NC']","['RE-ROOF', 'RE-ROOF', 'NEW CONST.']","['0', '0', '35,000']",30.230383,-85.883351,gab,0.03,BAY,V,166.5382839,1,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,1991,WSF1_gab_1_8d_tnail_wkd_0_3
831,32899-010-000,140 JEANETTE AVE PANAMA CITY BEACH 32413,SINGLE FAM (000100),1654,1.0,1987,ABOVE AVG.,ENG SHINGL,DRYWALL,NONE REPORTED,CLAY TILE; CARPET,"['201901444', '52892', '5854']","['20190404', '20051107', '19950425']","['RERF', 'RERF', 'ADD']","['RE-ROOF', 'RE-ROOF', 'ADDITION']","['0', '2,500', '6,000']",30.231332,-85.882941,hip,0.03,BAY,V,166.5382839,0,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,1987,WSF1_hip_1_8d_tnail_no_0_3
832,32895-000-000,117 JEANETTE AVE PANAMA CITY BEACH 32413,SINGLE FAM (000100),1873,1.0,1962,AL SIDING,ENG SHINGL,DRYWALL,NONE REPORTED,PINE WOOD; CARPET,"['15-1946', '936071', '925830', '925702', '925650', '925639']","['20151103', '19930405', '19920921', '19920615', '19920430', '19920421']","['RERF', 'ADD', 'ALTR', 'ALTR', 'ALTR', 'ADD']","['RERF', 'ADDITION', 'ALTERATION', 'ALTERATION', 'ALTERATION', 'ADDITION']","['0', '4,500', '3,500', '5,218', '6,782', '3,000']",30.230699,-85.883738,hip,0.03,BAY,V,166.5382839,0,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,1962,WSF1_hip_1_8d_tnail_no_1_3
833,32879-000-000,122 PEARL AVE PANAMA CITY BEACH 32413,SINGLE FAM (000100),3986,1.0,1976,COMMON BRK,ENG SHINGL,PLYWOOD; DRYWALL,NONE REPORTED,SHT VINYL; CARPET,"['14-01563', '1442']","['20140814', '20040715']","['RENO', 'UDG']","['STORM SHUTTERS', 'DET GARAGE']","['3,500', '19,011']",30.231605,-85.884119,hip,0.03,BAY,V,166.5382839,1,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,1976,WSF1_hip_1_8d_tnail_wkd_0_3
834,32875-000-000,124 PEARL AVE PANAMA CITY BEACH 32413,SINGLE FAM (000100),2060,1.0,1978,WD FR STUC,ENG SHINGL,DRYWALL,NONE REPORTED,SHT VINYL; CARPET,['20081548'],['20080605'],['RERF'],['RE-ROOF'],['40'],30.231945,-85.884008,gab,0.03,BAY,V,166.5382839,1,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,1978,WSF1_gab_1_6d_tnail_wkd_0_3
835,32870-000-000,107 PEARL AVE PANAMA CITY BEACH 32413,SINGLE FAM (000100),2447,1.0,2004,WD FR STUC,ENG SHINGL,DRYWALL,NONE REPORTED,CLAY TILE; HARDWOOD,"['18-1622', '0302459']","['20180604', '20031027']","['RERF', 'NC']","['RERF', 'NEW CONST.']","['0', '118,140']",30.230248,-85.885296,gab,0.03,BAY,V,166.5382839,1,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,2004,WSF1_gab_1_8s_strap_sup_1_3
836,32869-000-000,105 PEARL AVE PANAMA CITY BEACH 32413,SINGLE FAM (000100),1642,1.0,1974,WD FR STUC,ENG SHINGL,PLYWOOD; DRYWALL,NONE REPORTED,CLAY TILE,['16-0667'],['20160324'],['RERF'],['RERF'],['0'],30.230037,-85.885333,gab,0.03,BAY,V,166.5382839,1,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,1974,WSF1_gab_1_8d_tnail_wkd_0_3
837,32860-000-000,114 HENRY AVE PANAMA CITY BEACH 32413,SINGLE FAM (000100),2101,1.0,1987,SINGLE SID,ENG SHINGL,DRYWALL,NONE REPORTED,SHT VINYL; CARPET,"['20091550', '0099', '6301']","['20091209', '20000120', '19951016']","['RERF', 'ADD', 'ROOF']","['RE-ROOF', 'ADDITION', 'ROOF']","['2,480', '3,635', '1,200']",30.23129,-85.885662,gab,0.03,BAY,V,166.5382839,1,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,1995,WSF1_gab_1_6d_tnail_wkd_0_3
838,32855-000-000,199 ESCANABA AVE PANAMA CITY BEACH 32413,SINGLE FAM (000100),1726,1.0,1996,WD FR STUC,ENG SHINGL,DRYWALL,NONE REPORTED,CARPET; CLAY TILE,"['16-2042', '16-0542']","['20161011', '20160310']","['ROOF', 'RERF']","['ROOF', 'RERF']","['0', '0']",30.232267,-85.884529,gab,0.03,BAY,V,166.5382839,1,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,2016,WSF1_gab_1_8s_strap_std_0_3
839,32851-000-000,109 HENRY AVE PANAMA CITY BEACH 32413,SINGLE FAM (000100),1900,1.0,1982,WD FR STUC,ENG SHINGL,DRYWALL,NONE REPORTED,CLAY TILE; CARPET,"['17-0666', '17-0659', '16-1027', 'B350', '2165']","['20170330', '20170329', '20160511', '20030211', '19991111']","['RENO', 'POOL', 'POOL', 'ADD', 'RENO']","['GARAGE CONVERSION', 'POOL', 'POOL', 'ADDITION', 'RENOVATION']","['10,000', '23,200', '23,200', '7,500', '4,000']",30.230717,-85.886396,gab,0.03,BAY,V,166.5382839,1,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,1982,WSF1_gab_1_6d_tnail_wkd_0_3
